HomeTeam,HomeGames,goals_scored_home,shots_home,shots_on_target_home
Brentford,9,26,119,59
Tottenham,9,23,136,53
Liverpool,9,18,144,62
Man City,9,17,181,58
Arsenal,8,17,149,56
Newcastle,9,15,137,45
Chelsea,9,15,149,59
Aston Villa,9,15,132,50
Wolves,9,14,87,37
Fulham,9,14,131,50
West Ham,9,13,127,47
Man United,9,13,131,47
Brighton,8,13,128,38
Nott'm Forest,9,11,128,43
Leicester,9,11,76,26
Bournemouth,9,11,161,53
Everton,8,9,98,31
Southampton,9,7,85,34
Crystal Palace,9,7,122,39
Ipswich,9,6,108,30
