HomeTeam,HomeGames,goals_conceded_home,shots_conceded_home,shots_on_target_conceded_home
Arsenal,8,6,67,18
Liverpool,9,6,93,26
Bournemouth,9,7,101,31
Nott'm Forest,9,7,107,33
Everton,8,8,99,32
Newcastle,9,8,114,35
Aston Villa,9,10,84,30
Chelsea,9,11,108,43
Brighton,8,12,86,31
Fulham,9,13,95,31
Man City,9,13,69,31
Man United,9,14,100,35
Crystal Palace,9,15,113,37
Leicester,9,15,149,52
Brentford,9,16,127,41
Ipswich,9,16,126,46
Tottenham,9,17,109,45
West Ham,9,17,142,45
Wolves,9,20,121,51
Southampton,9,22,177,68
