team,total_team_goals,team_expected_goals,xg_goal_dif,total_team_assists,team_expected_assists,xg_ast_dif,total_team_goal_involvement,total_exp_team_goal_involvement,xg_goal_involvement_dif
Liverpool,56,54.39,1.61,52,34.66,17.34,108,89.05,18.95
Chelsea,48,49.49,-1.49,44,27.96,16.04,92,77.45,14.55
Man City,47,45.32,1.68,42,36.69,5.31,89,82.01,6.99
Arsenal,47,39.99,7.01,42,28.15,13.85,89,68.14,20.86
Spurs,45,40.68,4.32,43,26.06,16.94,88,66.74,21.26
Brentford,41,39.1,1.9,37,24.27,12.73,78,63.37,14.63
Bournemouth,41,45.95,-4.95,37,23.59,13.41,78,69.54,8.46
Newcastle,41,41.29,-0.29,36,27.72,8.28,77,69.01,7.99
Nott'm Forest,39,32.82,6.18,33,19.81,13.19,72,52.63,19.37
Fulham,35,34.31,0.69,34,23.32,10.68,69,57.63,11.37
Aston Villa,38,36.46,1.54,29,24.25,4.75,67,60.71,6.29
Wolves,34,26.07,7.93,30,15.27,14.73,64,41.34,22.66
Brighton,33,31.2,1.8,28,22.58,5.42,61,53.78,7.22
West Ham,29,33.63,-4.63,26,22.0,4.0,55,55.63,-0.63
Crystal Palace,24,32.4,-8.4,26,20.37,5.63,50,52.77,-2.77
Leicester,25,24.51,0.49,23,18.1,4.9,48,42.61,5.39
Man Utd,23,32.06,-9.06,23,20.55,2.45,46,52.61,-6.61
Everton,20,24.92,-4.92,17,16.91,0.09,37,41.83,-4.83
Ipswich,21,24.41,-3.41,15,14.49,0.51,36,38.9,-2.9
Southampton,17,24.16,-7.16,15,16.74,-1.74,32,40.9,-8.9
